System_ID,Nanostructure_Type,Dopant,Dopant_Count,Medium,Total Atoms,Adsorption_Site,Distance_A,HOMO_eV,LUMO_eV,Bandgap_eV,Mulliken_Charge_Dopant,Charge_Transfer_e,E_ads_DFT_eV,Recoverytime_sec,electronegativity_eV,chemical potential_eV,hardness_eV,electrophilicity index_eV
BNC_Pristine1,BCNNCcage,,0,water,65,Top,1.18,-5.08,-3.8,1.2800000000000002,0.303396,0.41797,-2.01,1.695e+23,4.4399999999999995,-4.4399999999999995,0.6400000000000001,15.401249999999994
BN_Al1,BNNS_Alsheet,Al,1,water,115,Top,4.98,-5.7,-1.74,3.96,-0.005572,0.01415,-0.8351,130.82,3.72,-3.72,1.98,3.494545454545455
BN_Ga1,BNNS_Gasheet,Ga,1,water,115,Top,4.96,-5.74,-1.38,4.36,0.030491,0.02828,-0.8291,103.56,3.56,-3.56,2.18,2.906788990825688
BN_Au1,BNNS_Ausheet,Au,1,water,115,Top,2.22,-5.46,-3.67,1.79,0.31068,0.18741,-0.2864,1.046e-07,4.5649999999999995,-4.5649999999999995,0.895,11.642025139664801
BN_Cu1,BNNS_Cusheet,Cu,1,water,115,Top,2.04,-5.66,-4.34,1.3200000000000003,0.322655,0.21409,-1.071,5910000.0,5.0,-5.0,0.6600000000000001,18.939393939393934
BN_Co1,BNNS_Cosheet,Co,1,water,115,Top,2.11,-5.69,-2.96,2.7300000000000004,0.370312,0.24414,-0.678,0.764,4.325,-4.325,1.3650000000000002,6.851877289377288
BN_Fe1,BNNS_Fesheet,Fe,1,water,115,Top,2.12,-5.68,-2.19,3.4899999999999998,0.277088,0.19593,-0.6248,892.9,3.9349999999999996,-3.9349999999999996,1.7449999999999999,4.436740687679082
BN_Ni1,BNNS_Nisheet,Ni,1,water,115,Top,2.08,-5.66,-3.77,1.8900000000000001,0.285317,1.20061,-0.7446,5.58,4.715,-4.715,0.9450000000000001,11.762552910052909
BCN_Al1,BCNNS_Alsheet,Al,1,water,115,Top,2.92,-2.67,-1.8,0.8699999999999999,-2.175269,-0.05231,-0.2104,3.6e-09,2.235,-2.235,0.43499999999999994,5.741637931034483
BCN_Ga1,BCNNS_Gasheet,Ga,1,water,115,Top,2.83,-2.62,-1.78,0.8400000000000001,-0.03227,-0.02297,-0.1062,6.24e-11,2.2,-2.2,0.42000000000000004,5.761904761904762
BCN_Ni1,BCNNS_Nisheet,Ni,1,water,115,Top,2.43,-2.69,-1.37,1.3199999999999998,-0.00262,0.074002,-0.2826,6e-09,2.0300000000000002,-2.0300000000000002,0.6599999999999999,3.1218939393939404
BNC_Al1,BNCNC_Alcage,Al,1,water,65,Top,1.09,-4.89,-3.43,1.4599999999999995,0.292738,0.36229,-2.76,1.46e-10,4.16,-4.16,0.7299999999999998,11.853150684931512
BNC_Ga1,BNCNC_Gacage,Ga,1,water,65,Top,1.2,-4.94,-3.42,1.5200000000000005,0.361526,0.29165,-2.87,1.71e-10,4.18,-4.18,0.7600000000000002,11.494999999999994
BNC_Au1,BNCNC_Aucage,Au,1,water,65,Top,2.17,-5.636,-3.715,1.9210000000000003,0.341519,0.19223,-1.33,33000000000.0,4.6754999999999995,-4.6754999999999995,0.9605000000000001,11.379646147839663
BNC_Ag1,BNCNC_Agcage,Ag,1,water,65,Top,2.24,-5.61,-4.07,1.54,0.9199,0.09359,-0.52,0.00066,4.84,-4.84,0.77,15.21142857142857
BNC_Cu1,BNCNC_Cucage,Cu,1,water,65,Top,5.48,-5.61,-4.31,1.3000000000000007,0.090031,0.03858,-0.12,1.1e-10,4.96,-4.96,0.6500000000000004,18.924307692307682
BNC_Co1,BNCNC_Cocage,Co,1,water,65,Top,1.95,-4.66,-3.29,1.37,0.342707,0.27054,-2.17,2.1e+24,3.975,-3.975,0.685,11.533302919708028
BNC_Fe1,BNCNC_Fecage,Fe,1,water,65,Top,2.12,-5.22,-3.41,1.8099999999999996,0.465044,0.37655,-0.76,6.7,4.3149999999999995,-4.3149999999999995,0.9049999999999998,10.286864640883978
BNC_Ni1,BNCNC_Nicage,Ni,1,water,65,Top,2.01,-5.48,-3.5,1.9800000000000004,0.340965,0.21102,-0.64,0.07,4.49,-4.49,0.9900000000000002,10.181868686868686
BNC_Pt1,BNCNC_Ptcage,Pt,1,water,65,Top,2.22,-5.53,-3.52,2.0100000000000002,0.334313,0.20417,-0.65,0.1,4.525,-4.525,1.0050000000000001,10.186878109452737
P-G1,Graphenesheet,,0,water,95,Top,3.69,-5.2,-2.63,2.5700000000000003,0.002343,0.00065,-0.0255,2.7e-13,3.915,-3.915,1.2850000000000001,5.9639007782101165
G-Al1,Graphene_Alsheet,Al,1,water,95,Top,2.54,-4.73,-2.31,2.4200000000000004,0.180721,0.22538,-0.3427,6.25e-07,3.5200000000000005,-3.5200000000000005,1.2100000000000002,5.12
G-Ga1,Graphene_Gasheet,Ga,1,water,95,Top,2.62,-4.78,-2.63,2.1500000000000004,0.147469,0.20546,-0.227,6.9e-09,3.705,-3.705,1.0750000000000002,6.384662790697674
P-FG1,Fluorographenesheet,,0,water,95,Top,3.09,-5.7,-3.68,2.02,-0.038148,-0.00389,-0.1156,9.01e-11,4.69,-4.69,1.01,10.889158415841585
F-Al1,Fluorographen_Alsheet,Al,1,water,95,Top,2.02,-5.64,-3.27,2.3699999999999997,0.129888,0.22244,-1.538,102700000000000.0,4.455,-4.455,1.1849999999999998,8.374272151898737
F-Ga1,Fluorographene_Gasheet,Ga,1,water,95,Top,2.06,-5.63,-3.28,2.35,0.20385,0.26138,-1.2379,863300000.0,4.455,-4.455,1.175,8.44554255319149
G-Ni1,Graphene_Nisheet,Ni,1,water,95,Top,1.985,-4.27,-2.26,2.01,0.334997,0.23252,-0.9833,42700.0,3.2649999999999997,-3.2649999999999997,1.005,5.303594527363184
G-Ag1,Graphene_Agsheet,Ag,1,water,95,Top,2.19,-4.56,-2.19,2.3699999999999997,0.265993,0.06593,-0.8768,679.9,3.375,-3.375,1.1849999999999998,4.80617088607595
G-Au1,Graphene_Ausheet,Au,1,water,95,Top,2.23,-4.63,-2.66,1.9699999999999998,0.34905,0.23137,-1.15,28400000.0,3.645,-3.645,0.9849999999999999,6.744175126903555
